basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1298,2023.10.26 06:06:41,EURUSD,SELL,liquidity_vacuum,16.69,0.00018,-0.1,2.2012,4.405,3,6,-1.55,2,0.00000,10.03,0,1,-4.62,5,winner,0
1299,2023.10.26 17:37:03,EURUSD,SELL,rotation,19.56,0.00036,1.0,17.7296,1.1585,2,17,2.87,3,0.00002,-25.02,1,0,-25.02,5,steamroller_bsl,1
1300,2023.10.27 15:42:30,EURUSD,BUY,expansion,24.60,0.00073,1.027778,21.436,0.7128,2,15,5.04,1,-0.00002,10.02,0,1,-4.20,3,winner,0
1301,2023.10.30 14:22:42,EURUSD,BUY,pullback_trend,25.94,0.00054,-0.260274,4.4807,2.4029,3,14,1.34,2,-0.00000,10.00,0,1,-0.68,2,winner,0
1302,2023.10.31 12:30:21,EURUSD,BUY,false_breakout,22.58,0.00035,-0.351852,2.8258,4.9033,2,12,-3.36,3,-0.00001,-25.03,1,0,-25.03,5,steamroller_bsl,1
1303,2023.10.31 18:03:31,EURUSD,SELL,false_breakout,19.66,0.00041,0.171429,3.8183,4.8159,2,18,-2.92,1,0.00003,10.00,0,1,-1.10,2,winner,0
1304,2023.11.01 18:00:20,EURUSD,SELL,pullback_trend,29.84,0.00032,-0.219512,22.2537,1.975,2,18,10.18,2,-0.00001,10.02,0,1,-4.53,5,winner,0
1305,2023.11.01 18:50:41,EURUSD,SELL,pullback_trend,21.77,0.00097,2.03125,22.2265,0.4561,2,18,-8.07,3,-0.00004,-25.06,1,0,-25.06,5,steamroller_bsl,1
1306,2023.11.02 03:07:03,EURUSD,BUY,liquidity_vacuum,22.50,0.00016,-0.835052,4.281,7.6839,4,3,0.73,1,0.00000,10.00,0,1,-0.46,2,winner,0
1307,2023.11.02 13:45:39,EURUSD,BUY,impulse,27.27,0.00060,2.75,39.2214,3.1256,3,13,4.77,2,-0.00004,10.00,0,1,-11.65,5,winner,0
1308,2023.11.03 19:20:33,EURUSD,BUY,false_breakout,20.82,0.00028,-0.533333,3.2371,6.9485,2,19,-6.45,3,-0.00004,-25.04,1,0,-25.04,5,steamroller_bsl,1
1309,2023.11.08 11:00:23,EURUSD,SELL,rotation,15.66,0.00032,0.142857,3.1577,2.5167,2,11,-5.16,1,0.00002,-25.09,1,0,-25.09,5,steamroller_bsl,1
1310,2023.11.14 13:29:36,EURUSD,BUY,rotation,20.64,0.00034,0.0625,11.8463,1.8452,2,13,4.98,1,0.00005,10.07,0,1,-0.33,1,winner,0
1311,2023.11.14 22:19:07,EURUSD,BUY,liquidity_vacuum,24.44,0.00014,-0.588235,13.8036,18.4143,15,22,3.8,2,-0.00001,10.06,0,1,-22.14,5,winner,0
1312,2023.11.16 16:12:54,EURUSD,BUY,impulse,28.73,0.00067,3.785714,48.8076,2.2817,2,16,4.29,3,0.00002,10.10,0,1,-24.75,5,winner,0
1313,2023.11.20 00:00:15,EURUSD,BUY,liquidity_vacuum,18.86,0.00020,-0.701493,3.2542,3.4169,4,0,-9.87,4,-0.00002,10.02,0,1,-1.94,4,winner,0
