basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
26,2026.03.02 10:00:31,EURUSD,SELL,impulse,27.38,0.00053,0.104167,25.6593,2.3906,6,10,10.81,4,0.00003,10.03,0,1,-1.69,2,winner,0
27,2026.03.02 19:01:39,EURUSD,SELL,rotation,19.81,0.00043,-0.188679,3.2445,1.7779,6,19,-7.57,5,-0.00000,10.04,0,1,-3.48,4,winner,0
28,2026.03.02 23:00:55,EURUSD,SELL,pullback_trend,28.05,0.00026,-0.395349,20.3415,2.6459,6,23,8.24,6,-0.00002,10.04,0,1,-5.91,5,winner,0
29,2026.03.03 12:11:41,EURUSD,SELL,expansion,24.79,0.00068,1.615385,21.1712,4.0694,6,12,-3.26,7,0.00003,10.00,0,1,-1.78,2,winner,0
30,2026.03.03 16:06:32,EURUSD,SELL,expansion,28.56,0.00113,0.661765,19.021,1.4534,6,16,3.77,8,0.00008,10.01,0,1,-10.03,4,winner,0
31,2026.03.04 02:13:04,EURUSD,SELL,liquidity_vacuum,25.79,0.00051,-0.548673,5.3876,0.7505,6,2,-2.77,9,0.00001,10.04,0,1,-19.37,5,winner,0
32,2026.03.05 09:03:39,EURUSD,SELL,grind,25.08,0.00065,0.27451,8.0862,0.9643,6,9,-0.71,10,0.00002,10.02,0,1,-14.88,5,winner,0
33,2026.03.05 17:02:42,EURUSD,SELL,pullback_trend,23.82,0.00081,0.246154,8.7254,1.4554,6,17,-1.26,11,0.00006,10.00,0,1,-9.52,4,winner,0
34,2026.03.06 13:30:13,EURUSD,SELL,rotation,20.72,0.00058,-0.283951,7.5878,2.3513,5,13,-3.1,12,-0.00004,10.03,0,1,-6.22,5,winner,0
35,2026.03.06 14:52:43,EURUSD,SELL,grind,21.60,0.00109,0.87931,17.8622,0.4362,6,14,0.88,13,0.00003,11.33,0,1,-11.02,3,winner,0
36,2026.03.08 21:10:30,EURUSD,BUY,liquidity_vacuum,23.75,0.00087,-0.201835,12.2616,5.4463,25,21,2.15,1,-0.00058,10.09,0,1,-23.36,5,winner,0
37,2026.03.09 14:06:18,EURUSD,BUY,rotation,16.27,0.00072,-0.172414,7.7043,0.8172,6,14,-7.48,2,0.00007,10.01,0,1,-2.77,3,winner,0
