basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1517,2025.02.13 18:45:00,EURUSD,BUY,pullback_trend,26.18,0.00084,0.423729,11.0068,1.878,4,18,1.65,1,-0.00024,10.02,0,1,-3.51,3,winner,0
1518,2025.02.13 23:34:02,EURUSD,BUY,false_breakout,19.71,0.00021,-0.75,5.3838,7.9354,5,23,-6.47,2,-0.00000,10.03,0,1,-5.42,5,winner,0
1519,2025.02.14 10:29:59,EURUSD,BUY,pullback_trend,22.35,0.00035,0.666667,14.0794,2.1311,4,10,2.64,3,0.00001,10.04,0,1,-4.92,4,winner,0
1520,2025.02.14 16:48:59,EURUSD,BUY,rotation,20.93,0.00037,0.057143,3.698,2.9063,4,16,-1.42,4,-0.00003,-25.10,1,0,-25.10,5,steamroller_bsl,1
1521,2025.02.18 19:24:15,EURUSD,SELL,grind,25.27,0.00027,-0.27027,10.0181,1.7524,4,19,4.34,1,0.00001,10.04,0,1,-17.11,5,winner,0
1522,2025.02.21 17:42:35,EURUSD,SELL,grind,21.68,0.00034,0.259259,4.2051,2.0499,2,17,-3.59,2,-0.00000,10.02,0,1,-19.53,5,winner,0
1523,2025.02.24 15:09:20,EURUSD,SELL,grind,24.07,0.00042,0.235294,9.0642,1.7251,1,15,2.39,3,-0.00000,10.00,0,1,-24.10,5,winner,0
1524,2025.02.27 06:02:39,EURUSD,SELL,liquidity_vacuum,21.12,0.00023,-0.452381,2.9489,3.3955,2,6,-2.95,4,0.00001,10.01,0,1,-9.39,5,winner,0
1525,2025.02.27 18:20:39,EURUSD,SELL,pullback_trend,23.79,0.00036,0.565217,15.1244,5.729,2,18,2.67,5,0.00003,10.01,0,1,-0.89,2,winner,0
1526,2025.02.28 20:55:28,EURUSD,SELL,pullback_trend,28.07,0.00031,-0.138889,12.7849,4.4995,2,20,4.28,6,0.00002,-25.16,1,0,-25.16,5,steamroller_bsl,1
1527,2025.03.03 17:33:21,EURUSD,BUY,false_breakout,22.81,0.00036,0.16129,3.9081,5.1807,2,17,-5.26,1,-0.00003,10.02,0,1,-6.48,5,winner,0
1528,2025.03.04 10:00:40,EURUSD,BUY,rotation,20.98,0.00056,0.555556,7.2297,2.2965,1,10,-1.83,2,-0.00002,10.01,0,1,-0.79,2,winner,0
1529,2025.03.04 14:15:24,EURUSD,BUY,pullback_trend,23.64,0.00065,0.160714,9.251,2.0953,1,14,2.66,3,-0.00005,10.03,0,1,-13.12,5,winner,0
1530,2025.03.05 00:00:38,EURUSD,BUY,liquidity_vacuum,19.57,0.00045,-0.307692,3.9572,5.8288,2,0,-4.07,4,-0.00000,10.04,0,1,-5.96,5,winner,0
1531,2025.03.05 10:26:21,EURUSD,BUY,impulse,29.90,0.00071,0.577778,30.6523,4.858,1,10,10.33,5,-0.00005,10.02,0,1,-2.38,2,winner,0
1532,2025.03.05 18:35:28,EURUSD,BUY,false_breakout,22.45,0.00063,-0.112676,4.1651,4.6606,2,18,-7.45,6,-0.00005,10.00,0,1,-0.63,1,winner,0
1533,2025.03.07 11:04:34,EURUSD,BUY,false_breakout,17.74,0.00047,-0.253968,5.1026,4.4105,1,11,-4.71,7,-0.00000,10.05,0,1,-3.03,4,winner,0
1534,2025.03.07 14:58:38,EURUSD,BUY,impulse,25.96,0.00114,1.425532,34.9476,0.2091,1,14,8.22,8,-0.00002,10.06,0,1,-8.18,4,winner,0
1535,2025.03.10 12:49:38,EURUSD,BUY,grind,25.76,0.00070,-0.385965,4.9499,0.1997,1,12,-0.2,9,0.00002,10.00,0,1,-5.02,2,winner,0
1536,2025.03.11 10:07:36,EURUSD,BUY,pullback_trend,24.85,0.00079,0.128571,7.7415,2.6232,1,10,-0.91,10,-0.00006,10.00,0,1,-2.28,2,winner,0
