basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
154,2018.08.02 07:00:35,EURUSD,SELL,1,1.16496,1.16564,-0.00068,-2.9935,0.00000,0.00023,23.23,1.16496,-1.9949,8,7,4,0.7200,1.0284,50,-1e-05,4.96,-0.30303,3,1.9949,12.0187,0.0,0.3,23.9762,2018.08.06 06:33:37,10.02,BASKET_TP,1,0,-0.23,10.02,570,1,winner,0,0
155,2018.08.06 06:55:04,EURUSD,SELL,1,1.15563,1.15625,-0.00061,-3.3341,0.00001,0.00018,26.85,1.15564,-2.5347,8,6,1,0.7200,1.0282,50,1e-05,3.62,-0.217391,4,2.5347,9.9737,0.0,0.4,25.2803,2018.08.06 11:44:38,10.04,BASKET_TP,1,0,-4.61,10.04,57,5,winner,0,0
156,2018.08.06 13:02:32,EURUSD,SELL,1,1.15398,1.15522,-0.00124,-4.1513,0.00002,0.00030,28.68,1.15394,-3.1702,8,13,1,0.7200,1.0282,50,1e-05,1.83,0.666667,5,3.1702,13.7192,1.22,0.5,43.4927,2018.08.07 11:57:26,-25.20,BASKET_SL,0,1,-25.20,1.50,275,5,steamroller_bsl,1,1
157,2018.08.07 14:32:29,EURUSD,BUY,1,1.15989,1.15863,0.00126,3.6617,-0.00003,0.00034,23.72,1.15989,2.4193,8,14,2,0.7000,0.9331,50,-5e-05,-4.96,0.133333,1,2.4193,2.9382,0.0,0.5,7.1083,2018.08.08 05:13:17,10.14,BASKET_TP,1,0,-3.06,10.14,176,3,winner,0,0
158,2018.08.08 08:57:14,EURUSD,BUY,1,1.16171,1.16128,0.00043,1.0112,-0.00003,0.00042,19.75,1.16180,0.1340,8,8,3,0.7000,0.9334,50,0.0,-3.97,0.235294,2,0.134,3.3864,0.0,0.0,0.4538,2018.08.09 17:11:25,-25.22,BASKET_SL,0,1,-25.22,6.28,387,5,steamroller_bsl,1,1
159,2018.08.10 01:00:59,EURUSD,SELL,1,1.15229,1.15394,-0.00165,-6.0971,0.00001,0.00027,25.17,1.15225,-5.2046,8,1,5,0.6800,0.8500,50,4e-05,5.42,-0.357143,1,5.2046,13.0412,0.0,0.4,67.874,2018.08.10 06:09:20,10.04,BASKET_TP,1,0,-2.96,10.04,61,4,winner,0,0
160,2018.08.10 10:04:36,EURUSD,SELL,1,1.14561,1.14863,-0.00302,-4.7983,0.00001,0.00063,22.12,1.14571,-3.6760,8,10,5,0.6800,0.8500,50,0.0,-3.05,1.333333,2,3.676,15.2523,0.0,0.0,56.0676,2018.08.10 13:06:36,10.01,BASKET_TP,1,0,-4.19,10.01,37,4,winner,0,0
161,2018.08.10 19:55:00,EURUSD,SELL,1,1.13991,1.14218,-0.00227,-7.4469,0.00004,0.00030,22.00,1.13991,-6.4347,8,19,5,0.6800,0.8500,50,3e-05,-0.12,-0.52381,3,6.4347,3.4087,0.0,0.9,21.9338,2018.08.12 22:01:00,14.89,BASKET_TP,1,0,-9.81,14.89,25,5,winner,0,0
162,2018.08.13 04:40:00,EURUSD,SELL,1,1.13812,1.13910,-0.00098,-2.6967,0.00005,0.00036,18.97,1.13812,-1.4839,8,4,1,0.6800,0.8621,50,1e-05,-3.03,0.2,4,1.4839,4.471,0.0,0.4,6.6345,2018.08.13 08:33:39,10.02,BASKET_TP,1,0,-7.33,10.02,46,5,winner,0,0
163,2018.08.13 09:38:36,EURUSD,SELL,1,1.13796,1.13853,-0.00057,-0.8998,0.00001,0.00063,28.51,1.13796,0.0690,8,9,1,0.6800,0.8621,50,-4e-05,9.54,0.75,5,0.069,29.4973,7.155,2.0,2.0353,2018.08.14 15:07:42,10.03,BASKET_TP,1,0,-17.57,10.03,354,5,winner,0,0
164,2018.08.14 20:52:53,EURUSD,SELL,1,1.13412,1.13592,-0.00180,-8.2485,0.00001,0.00022,22.68,1.13412,-7.2473,8,20,2,0.6800,0.8621,50,0.0,-5.83,-0.650794,6,7.2473,4.8118,0.0,0.0,34.8727,2018.08.15 11:45:41,10.02,BASKET_TP,1,0,-1.50,10.02,179,3,winner,0,0
165,2018.08.15 13:01:20,EURUSD,SELL,1,1.13178,1.13260,-0.00082,-1.7256,0.00002,0.00048,29.74,1.13167,-0.8986,8,13,3,0.7000,0.9460,50,1e-05,7.06,1.181818,7,0.8986,29.7628,8.343636,0.7,26.7449,2018.08.16 03:25:38,-25.07,BASKET_SL,0,1,-25.07,9.38,173,5,steamroller_bsl,1,1
166,2018.08.16 07:12:01,EURUSD,BUY,1,1.13871,1.13691,0.00181,3.7966,-0.00004,0.00048,24.84,1.13875,2.8008,8,7,4,0.6800,0.8620,50,-6e-05,-4.9,0.0,1,2.8008,1.8002,0.0,0.6,5.042,2018.08.16 14:47:28,10.01,BASKET_TP,1,0,-8.84,10.01,91,5,winner,0,0
167,2018.08.16 16:42:36,EURUSD,BUY,1,1.13912,1.13810,0.00102,1.9209,-0.00005,0.00053,29.04,1.13910,0.5640,8,16,4,0.6800,0.8620,50,-1e-05,4.2,0.104167,2,0.564,10.6827,0.4375,0.2,6.025,2018.08.17 09:07:28,10.11,BASKET_TP,1,0,-11.25,10.11,197,4,winner,0,0
168,2018.08.17 10:04:17,EURUSD,BUY,1,1.13989,1.13862,0.00127,1.7431,-0.00003,0.00073,23.68,1.14001,0.8368,8,10,5,0.7000,0.9462,50,2e-05,-5.36,0.377358,3,0.8368,5.6828,0.0,0.6,4.7554,2018.08.17 15:41:30,10.02,BASKET_TP,1,0,-3.63,10.02,68,3,winner,0,0
169,2018.08.17 16:06:34,EURUSD,BUY,1,1.14081,1.13970,0.00111,1.7425,-0.00006,0.00064,29.24,1.14081,0.6021,8,16,5,0.7000,0.9463,50,-3e-05,5.56,-0.123288,4,0.6021,13.5705,0.0,1.2,8.1708,2018.08.21 01:32:27,10.00,BASKET_TP,1,0,-0.76,10.00,401,1,winner,0,0
