basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
1561,2025.04.11 11:00:29,EURUSD,BUY,1,1.13953,1.13344,0.00610,3.3948,-0.00012,0.00180,20.56,1.13938,1.8784,8,11,5,0.8400,2.1126,50,-0.00013,-4.66,1.432432,4,1.8784,18.0939,0.0,5.2,33.9876,2025.04.11 14:11:28,10.02,BASKET_TP,1,0,-7.36,10.02,38,2,winner,0,0
1562,2025.04.11 14:50:00,EURUSD,BUY,1,1.13692,1.13510,0.00182,0.7547,-0.00040,0.00241,28.42,1.13733,-0.6782,8,14,5,0.8400,2.1122,50,-0.00028,7.86,0.338889,5,0.6782,24.5784,2.663667,14.0,16.6691,2025.04.14 01:08:38,10.05,BASKET_TP,1,0,-11.75,10.05,123,3,winner,0,0
1563,2025.04.14 04:00:00,EURUSD,BUY,1,1.13805,1.13565,0.00241,3.0265,-0.00011,0.00080,25.74,1.13805,1.8906,9,4,1,0.8400,2.1119,50,0.00029,-2.68,-0.66805,6,1.8906,6.3727,0.0,17.4,12.0481,2025.04.14 07:08:30,10.04,BASKET_TP,1,0,-3.58,10.04,37,3,winner,0,0
1564,2025.04.14 08:32:39,EURUSD,BUY,1,1.14019,1.13773,0.00245,2.2038,-0.00004,0.00111,28.82,1.14031,1.1647,8,8,1,0.8400,2.1120,50,7e-05,3.08,0.3875,7,1.1647,14.5262,1.1935,4.9,16.9186,2025.04.14 14:10:41,-25.00,BASKET_SL,0,1,-25.00,4.07,68,3,steamroller_bsl,1,1
1565,2025.04.14 17:13:37,EURUSD,SELL,1,1.13611,1.13639,-0.00028,-0.2812,0.00004,0.00099,24.02,1.13595,0.5509,8,17,1,0.8200,1.8322,50,8e-05,-4.8,-0.108108,1,0.5509,1.4377,0.0,0.8,0.792,2025.04.15 17:34:33,10.02,BASKET_TP,1,0,-0.99,10.02,292,1,winner,0,0
1566,2025.04.15 20:06:32,EURUSD,SELL,1,1.12737,1.12970,-0.00233,-5.4289,0.00004,0.00043,19.82,1.12731,-4.5500,10,20,2,0.8200,1.8319,50,0.0,-4.2,-0.565657,2,4.55,2.1375,0.0,0.0,9.7256,2025.04.16 04:28:16,-25.09,BASKET_SL,0,1,-25.09,1.26,100,5,steamroller_bsl,1,1
1567,2025.04.16 11:02:43,EURUSD,BUY,1,1.13644,1.13525,0.00118,1.3733,-0.00005,0.00086,16.50,1.13657,0.2893,8,11,3,0.8000,1.6082,50,-9e-05,-3.32,1.0,1,0.2893,11.4723,0.0,0.9,3.3189,2025.04.16 20:18:40,10.00,BASKET_TP,1,0,-2.12,10.00,111,2,winner,0,0
1568,2025.04.17 00:57:38,EURUSD,BUY,1,1.13995,1.13887,0.00108,3.0960,0.00001,0.00035,28.76,1.13998,1.8612,12,0,4,0.8000,1.6081,50,6e-05,12.26,-0.593023,2,1.8612,26.5853,0.0,1.2,49.4806,2025.04.17 13:20:27,-25.04,BASKET_SL,0,1,-25.04,0.05,149,5,steamroller_bsl,1,1
1569,2025.04.17 14:00:34,EURUSD,SELL,1,1.13557,1.13648,-0.00092,-0.8701,0.00000,0.00106,29.15,1.13557,-0.0801,8,14,4,0.7800,1.4256,50,-1e-05,0.39,2.028571,1,0.0801,21.6857,0.791143,0.1,1.737,2025.04.21 00:50:11,-25.03,BASKET_SL,0,1,-25.03,9.98,418,3,steamroller_bsl,1,1
1570,2025.04.21 10:54:33,EURUSD,BUY,1,1.15546,1.15194,0.00352,4.7715,-0.00005,0.00074,27.21,1.15562,3.9148,8,10,1,0.7600,1.2735,50,-5e-05,-1.94,-0.301887,1,3.9148,1.9787,0.0,0.5,7.7462,2025.04.21 16:08:43,-25.03,BASKET_SL,0,1,-25.03,7.22,63,5,steamroller_bsl,1,1
