basket_id,open_time,symbol,direction,warn_depth,max_depth,ema_sep_atr,ema_slope,atr,adx,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,is_sell,profit,hit_bsl,mae,mfe,bars_alive,label_class,y_steamroller,y_mid_steamroller
1312,2023.11.16 16:12:54,EURUSD,BUY,4,5,2.5825,0.00002,0.00067,28.73,2.2817,2,16,4,0.6200,0.6565,50,3e-05,4.29,3.785714,3,2.2817,48.8076,0.0,10.10,0,-24.75,10.10,313,winner,0,0
1312,2023.11.16 16:12:54,EURUSD,BUY,5,5,2.5825,0.00002,0.00067,28.73,2.2817,2,16,4,0.6200,0.6565,50,3e-05,4.29,3.785714,3,2.2817,48.8076,0.0,10.10,0,-24.75,10.10,313,winner,0,0
1313,2023.11.20 00:00:15,EURUSD,BUY,2,4,4.6560,-0.00002,0.00020,18.86,3.4169,4,0,1,0.6200,0.6551,50,-4e-05,-9.87,-0.701493,4,3.4169,3.2542,0.0,10.02,0,-1.94,10.02,51,winner,0,0
1313,2023.11.20 00:00:15,EURUSD,BUY,3,4,4.6560,-0.00002,0.00020,18.86,3.4169,4,0,1,0.6200,0.6551,50,-4e-05,-9.87,-0.701493,4,3.4169,3.2542,0.0,10.02,0,-1.94,10.02,51,winner,0,0
1313,2023.11.20 00:00:15,EURUSD,BUY,4,4,4.6560,-0.00002,0.00020,18.86,3.4169,4,0,1,0.6200,0.6551,50,-4e-05,-9.87,-0.701493,4,3.4169,3.2542,0.0,10.02,0,-1.94,10.02,51,winner,0,0
1314,2023.11.20 08:49:15,EURUSD,BUY,2,5,0.9734,0.00002,0.00045,27.16,-0.1338,2,8,1,0.6400,0.7136,50,4e-05,8.3,1.25,5,0.1338,32.0335,0.0,-25.04,1,-25.04,4.84,652,steamroller_bsl,1,1
1314,2023.11.20 08:49:15,EURUSD,BUY,3,5,0.9734,0.00002,0.00045,27.16,-0.1338,2,8,1,0.6400,0.7136,50,4e-05,8.3,1.25,5,0.1338,32.0335,0.0,-25.04,1,-25.04,4.84,652,steamroller_bsl,1,1
1314,2023.11.20 08:49:15,EURUSD,BUY,4,5,0.9734,0.00002,0.00045,27.16,-0.1338,2,8,1,0.6400,0.7136,50,4e-05,8.3,1.25,5,0.1338,32.0335,0.0,-25.04,1,-25.04,4.84,652,steamroller_bsl,1,1
1314,2023.11.20 08:49:15,EURUSD,BUY,5,5,0.9734,0.00002,0.00045,27.16,-0.1338,2,8,1,0.6400,0.7136,50,4e-05,8.3,1.25,5,0.1338,32.0335,0.0,-25.04,1,-25.04,4.84,652,steamroller_bsl,1,1
1315,2023.11.22 17:11:02,EURUSD,SELL,2,5,-4.0755,0.00004,0.00039,22.54,-3.0677,2,17,3,0.6200,0.6551,50,2e-05,-4.62,-0.133333,1,3.0677,1.4669,1.0,-25.06,1,-25.06,0.57,548,steamroller_bsl,1,1
